"Title","Subtitle","CELEX number","EUROVOC descriptor","Subject matter","Directory code","Date of document",
"Commission Regulation (EU) No 548/2014 of 21 May 2014 on implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to small, medium and large power transformers","","32014R0548","electric machinery, technical standard, energy consumption, environmental impact, EC conformity marking, energy saving, marketing standard","Environment, Energy","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2014-05-21",
"Commission Regulation (EU) No 312/2014 of 26 March 2014 establishing a Network Code on Gas Balancing of Transmission Networks  Text with EEA relevance","","32014R0312","energy grid, energy transport, energy market, trading operation, gas supply, gas","Energy, Internal market - Principles","Energy, Oil and gas, Intra-Community trade","2014-03-26",
"2014/70/EU: Commission Recommendation of 22 January 2014 on minimum principles for the exploration and production of hydrocarbons (such as shale gas) using high-volume hydraulic fracturing","","32014H0070","pollution control, gas, health control, gas industry, environmental impact, mining extraction, oil pollution, energy production","Energy","Energy, Oil and gas, Other measures relating to oil or gas","2014-01-22",
"Commission Delegated Regulation (EU) No 65/2014 of 1 October 2013 supplementing Directive 2010/30/EU of the European Parliament and of the Council with regard to the energy labelling of domestic ovens and range hoods  Text with EEA relevance","","32014R0065","furnace, technical specification, energy efficiency, energy saving, electrical energy, gas, household electrical appliance, consumer information, eco-label","Energy, Environment","Environment, consumers and health protection, Energy, Consumers, General principles and programmes, Consumer information, education and representation, Rational utilisation and conservation of energy","2013-10-01",
"Commission Regulation (EU) No 66/2014 of 14 January 2014 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for domestic ovens, hobs and range hoods  Text with EEA relevance","","32014R0066","technical specification, energy efficiency, eco-label, energy consumption, household electrical appliance, gas, consumer information, electrical energy, energy saving, furnace","Energy, Environment","Environment, consumers and health protection, Energy, Consumers, General principles and programmes, Consumer information, education and representation, Rational utilisation and conservation of energy","2014-01-14",
"Decision of the Ministerial Council of the Energy Community D/2013/03/MC-EnC on extending the duration of the Energy Community Treaty","","32013D1130(01)","renewal of an agreement, Central and Eastern European Countries, natural gas, electrical energy, agreement (EU), energy cooperation","Principles, objectives and tasks of the Treaties, Energy","General, financial and institutional matters, Energy, Principles, objectives and tasks of the Treaties, General principles and programmes, General","2013-10-24",
"Commission Regulation (EU) No 814/2013 of 2 August 2013 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for water heaters and hot water storage tanks  Text with EEA relevance","","32013R0814","environmental impact, energy saving, electrical energy, household electrical appliance, eco-label, energy efficiency, technical specification","Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy","2013-08-02",
"Commission Delegated Regulation (EU) No 812/2013 of 18 February 2013 supplementing Directive 2010/30/EU of the European Parliament and of the Council with regard to the energy labelling of water heaters, hot water storage tanks and packages of water heater and solar device  Text with EEA relevance","","32013R0812","energy efficiency, technical specification, labelling, energy saving, electrical energy, consumer information, household electrical appliance","Environment, Energy","Environment, consumers and health protection, Energy, Consumers, General principles and programmes, Consumer information, education and representation, Rational utilisation and conservation of energy","2013-02-18",
"Commission Delegated Regulation (EU) No 811/2013 of 18 February 2013 supplementing Directive 2010/30/EU of the European Parliament and of the Council with regard to the energy labelling of space heaters, combination heaters, packages of space heater, temperature control and solar device and packages of combination heater, temperature control and solar device  Text with EEA relevance","","32013R0811","labelling, energy saving, electrical energy, consumer information, technical specification, heating, energy efficiency","Environment, Energy","Environment, consumers and health protection, Energy, Consumers, General principles and programmes, Consumer information, education and representation, Rational utilisation and conservation of energy","2013-02-18",
"Commission Regulation (EU) No 813/2013 of 2 August 2013 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for space heaters and combination heaters  Text with EEA relevance","","32013R0813","heating, technical specification, eco-label, energy efficiency, environmental impact, electrical energy, energy saving","Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy","2013-08-02",
